año mes humedad irradiacion lluvia temperatura vel_viento
2011 1 81 505 118.9 10.4 13
2011 2 83 768 90.2 10.6 11.5
2011 3 78 1160 80 11.6 11.2
2011 4 77 1852 66.4 15.6 11.2
2011 5 78 2089 23.9 15.7 15.1
2011 6 77 2094 8.5 16.9 13
2011 7 82 1928 29.1 17.8 12.6
2011 8 84 1712 43.2 18.9 9.4
2011 9 84 1432 28.8 18.7 9
2011 10 80 1120 114.5 16.1 8.3
2011 11 86 562 138.7 12.7 9
2011 12 88 416 141.8 10.8 10.8
2012 1 89 502 54.3 9.5 7.9
2012 2 75 984 24.5 8.9 10.4
2012 3 71 1575 31.1 12.8 10.4
2012 4 83 1392 165.1 10.9 14
2012 5 81 1809 96.4 15.5 12.6
2012 6 85 2001 103.6 17.1 11.9
2012 7 83 2046 48.3 18.3 10.1
2012 8 84 1840 39.3 19.3 10.8
2012 9 80 1524 39.8 18.6 13.3
2012 10 87 885 100.7 15.1 8.6
2012 11 85 635 244 11.5 11.2
2012 12 89 375 180.2 11.4 13.3
2013 1 90 449 291.3 10.3 11.5
2013 2 86 716 130.7 9.8 9.7
2013 3 84 985 266.1 11 12.2
2013 4 79 1689 117.8 12 15.1
2013 5 82 1905 131.9 12.4 10.8
2013 6 84 1978 69.4 15.8 14
2013 7 80 2237 5.8 20.8 12.6
2013 8 82 2044 20.4 19.8 13.3
2013 9 83 1445 58.4 18.8 9.4
2013 10 85 944 242.2 16.6 11.5
2013 11 84 510 162.6 12.4 12.2
2013 12 80 523 171.8 10.2 11.9
2014 1 88 330 303 10.7 14
2014 2 81 639 197.1 10.1 19.8
2014 3 79 1310 83.3 11.8 12.2
2014 4 82 1481 71.2 13.9 12.6
2014 5 79 2030 49.1 14.1 11.5
2014 6 79 2185 79.2 17.7 11.5
2014 7 82 2249 54.7 19.3 11.9
2014 8 81 1853 48.5 18.9 10.1
2014 9 82.3 1407 79 19.7 7.6
2014 10 83.9 929 79.2 17.4 6.5
2014 11 87.7 442 253.5 12.7 12.2
2014 12 89.4 405 119.2 10.1 7.9
2015 1 89 424 140 9.6 10
2015 2 84 646 192.3 9 12.7
2015 3 81 1192 85.1 10.9 12.3
2015 4 78 1682 85.3 14.1 10.9
2015 5 78 2158 73.9 15.4 14
2015 6 78 2422 5.7 18.1 13.5
2015 7 79 2071 23.1 19.6 12
2015 8 85 1559 91.8 18.7 10.2
2015 9 81 1510 95.3 16.8 12.1
2015 10 82 923 121.3 15.6 11.3
2015 11 88 570 54.4 14.1 8.6
2015 12 79 441 78.5 13.2 13.9
2016 1 86 442 380.7 11.3 14.3
2016 2 85 620 273.2 10.3 12.1
2016 3 79 1165 198.1 10.4 13.4
2016 4 80 1512 150.4 11.4 12.3
2016 5 82 1827 166.8 14.7 10
2016 6 83 2090 97.4 17.4 9.9
2016 7 77 2376 9.1 20 13
2016 8 78 2098 23.4 20.1 10.9
2016 9 87 1492 115.7 18 7.6
2016 10 84 1106 68.6 15.6 7.7
2016 11 87 636 189.7 11.7 8.3
2016 12 86 593 53.2 11.4 5.7
2017 1 84 568 73.1 9.1 7.7
2017 2 82 756 145.2 11.1 13.1
2017 3 79 1202 205.8 12.1 13.4
2017 4 69 2096 20.2 13.8 13.4
2017 5 78 1913 96.3 16.8 9.5
2017 6 79 2207 27.4 18.6 10.2
2017 7 81 2069 19.3 19.4 11
2017 8 79 1942 19.5 19.7 10.9
2017 9 84 1415 71.7 17.1 8.5
2017 10 80 1243 38.3 16.8 8.7
2017 11 85 688 85.3 11.5 7
2017 12 87 471 180.8 10.2 10.4
2018 1 88 450 174.9 10.7 11.7
2018 2 81 835 166.9 8.5 11.6
2018 3 81 970 255.4 9.9 15.7
2018 4 79 1734 96.3 12.8 12.2
2018 5 78 1995 45.5 14.9 12.3
2018 6 85 1815 97 17.3 10.4
2018 7 83 1931 33.4 19.9 10.3
2018 8 78 2183 31.5 20.7 11.4
2018 9 79 1669 9.7 19.6 10.9
2018 10 76 1197 111.9 15.4 13.1
2018 11 87 528 289.2 12.1 11
2018 12 86 437 137.9 12 11
2019 1 84 569 177.3 9.5 11
2019 2 76 937 61.6 11.3 8.1
2019 3 74 1443 55.9 11.9 12.8
2019 4 75 1631 135.4 12.7 11.9
2019 5 72 2260 56.4 15.4 12.1
2019 6 77 2015 73.4 16.4 8.9
2019 7 77 2327 29.1 19.8 12
2019 8 77 1919 51.6 19.9 10.2
2019 9 74 1626 49.2 19 14.8
2019 10 84 865 198.6 15.7 8.8
2019 11 82 403 372.8 12.4 14.5
2019 12 77 585 137.9 12.7 11.9
