año mes horas_frio horas_sol presion
2009 1 0 69.4 1011
2009 2 0 166.7 1011.7
2009 3 0 197 1014.6
2009 4 0 195.6 1012.3
2009 5 0 243.2 1014.3
2009 6 0 214.9 1011.6
2009 7 0 229 1014.4
2009 8 0 245.3 1013.7
2009 9 0 255.2 1014.6
2009 10 0 162.5 1011.5
2009 11 0 63.4 1011.7
2009 12 0 77.3 1005.2
2010 1 172.5 63.1 1012
2010 2 179.5 100 1001.5
2010 3 95.3 157.9 1011.2
2010 4 15.8 225.7 1011.7
2010 5 4.3 231.6 1012.2
2010 6 0 235.4 1012
2010 7 0 278 1014
2010 8 0 257.7 1013.4
2010 9 0 231.4 1012.2
2010 10 0 139.6 1007.2
2010 11 98 85.7 1008.6
2010 12 179.8 92.3 1006.2
2011 1 119.3 92.4 1013.8
2011 2 85.7 116.2 1016.3
2011 3 33.5 170.4 1014.3
2011 4 9.2 244.2 1011.3
2011 5 0 258.8 1014.2
2011 6 0 253.6 1015.2
2011 7 0 222.9 1013.5
2011 8 0 221.8 1012.5
2011 9 0 186.7 1014.6
2011 10 5.3 205.5 1015.2
2011 11 0 100.6 1011.3
2011 12 0 81.7 1023.3
2012 1 179.5 71.6 1024.5
2012 2 212.6 169.1 1025.4
2012 3 54.3 258 1020.9
2012 4 49.2 154 1007.8
2012 5 0 214 1011.7
2012 6 0 224 1012.9
2012 7 0 254.8 1015.1
2012 8 0 241.3 1013.9
2012 9 0 218.3 1012.9
2012 10 22.7 127.9 1008.8
2012 11 70 110.7 1010.9
2012 12 86.5 66.4 1015.8
2013 1 94.7 85.8 1015.9
2013 2 119.8 93.6 1016.8
2013 3 95.3 104.9 1001
2013 4 33.7 193.8 1013.9
2013 5 32.3 218.6 1015.2
2013 6 0 228.4 1016.6
2013 7 0 301.6 1013.8
2013 8 0 284 1015.8
2013 9 0 200.6 1013.6
2013 10 5.8 150.7 1011.5
2013 11 41.8 80.2 1019.8
2013 12 130.5 117.6 1020
2014 1 26.2 41.6 1009.3
2014 2 71.5 78 1008.3
2014 3 32.7 195.6 1015.1
2014 4 8.8 165.3 1011.8
2014 5 1.2 243.1 1014.8
2014 6 0 251 1014.1
2014 7 0 281 1014.8
2014 8 0 239.9 1014.3
2014 9 0 193.6 1011.6
2014 10 0 149.3 1011.5
2014 11 32.8 58.7 1004
2014 12 101.3 69.1 1024.1
2015 1 95.2 76.6 1021.9
2015 2 150.3 80.8 1018.6
2015 3 79.7 163.6 1021.1
2015 4 5.5 220.5 1015
2015 5 0 268 1016.8
2015 6 0 297.2 1015.7
2015 7 0 249.8 1015.2
2015 8 0 180.2 1013.1
2015 9 0 210.2 1013.5
2015 10 3 138.2 1010.5
2015 11 28.5 92.9 1021.7
2015 12 49.2 89.4 1020.4
2016 1 69.2 61.3 1015.3
2016 2 94.3 76.6 1016.8
2016 3 78.3 158.1 1015
2016 4 42.7 173 1010.2
2016 5 6.7 204.4 1011.1
2016 6 0 239.8 1015.5
2016 7 0 305.4 1016.9
2016 8 0 294 1017
2016 9 0 202.9 1016.5
2016 10 0 187.9 1012.6
2016 11 58.3 115.5 1013
2016 12 80 146.2 1022.3
2017 1 202.1 112.2 1020
2017 2 42.5 103.5 1013.7
2017 3 52.2 161.6 1015.6
2017 4 18.5 293 1015.3
2017 5 0 225.4 1011.5
2017 6 0 264.9 1014.3
2017 7 0 239.1 1015.1
2017 8 0 252.3 1015.7
2017 9 0 184.5 1017.2
2017 10 2.8 220.4 1018.3
2017 11 111.5 131.7 1018.3
2017 12 143.2 101 1021
2018 1 105.5 67.4 1019.9
2018 2 250 119.1 1014.2
2018 3 96.5 109.8 1002.6
2018 4 15.7 210 1008.5
2018 5 7.8 237 1014.2
2018 6 0 188.6 1013.9
2018 7 0 219.9 1014.2
2018 8 0 311.7 1015.6
2018 9 0 238.9 1016.5
2018 10 4.3 200.6 1012.5
2018 11 33.8 87.1 1008.4
2018 12 51 88.9 1020.7
